"ProbeName"	"WT_Cy5_label"	"Rspo.KI_Cy5_label"	"Rspo.KI_Cy3_label"	"WT_Cy3_label"	"GeneSymbol"
"GE_BrightCorner"	15.4065745096363	15.1777040185652	15.0904288755881	15.3364704897418	NA
"DarkCorner"	3.98330165531817	3.18718110099545	3.90955377124272	3.27686662105768	NA
"A_52_P616356"	3.23204609917584	3.06254446566903	3.22333149045242	3.08282719349778	"Ccr1"
"A_52_P580582"	4.50083278487431	3.43049280271384	4.12181877495833	3.158371102517	"Nppa"
"A_52_P403405"	4.72187912715593	3.73977629011848	4.55736597412746	4.16492900426502	"Aqp7"
"A_52_P819156"	3.22286857380899	3.78396575100996	4.57654314935705	3.10733920377842	"ENSMUST00000094955"
"A_51_P331831"	6.14654973666437	6.85423601396791	6.70671768739823	8.98562195903682	"Hvcn1"
"A_51_P430630"	4.28654371576561	3.98521541523521	3.25583266588716	3.12323411775401	"Gpr33"
"A_52_P502357"	3.26781831690991	3.09141934864926	3.24965748206152	3.11746341168673	"C230086J09Rik"
"A_52_P299964"	3.2341418282765	4.39127023016212	4.61846244394236	4.37492905226298	"Maml2"
"A_51_P356389"	3.2456812738891	3.09942663174127	4.37693697815392	3.12953468344794	"A330106F07Rik"
"A_52_P684402"	7.95242603265615	7.18337733555225	6.93421394265661	7.86550610194769	"Ptdss2"
"A_51_P414208"	3.27183369221345	3.10818440066426	3.25488768412333	3.14257742687112	"Lce1c"
"A_51_P280918"	9.54024439901666	8.94471696517354	8.47318224651295	9.45234828010689	"Itfg1"
"A_52_P613688"	7.4902207255439	7.28294731863788	7.45168341409017	7.20470904952283	"Elmo1"
"A_52_P258194"	6.29198436629319	6.91197254453454	7.46443180049314	6.6254850801474	"Crtac1"
"A_52_P229271"	5.91498480983772	5.15084843038324	5.17123135126367	5.24931449135897	"Pnpt1"
"A_52_P214630"	11.3146542444208	12.5967355622119	12.1863217900386	11.1105856846786	"Sox9"
"A_52_P579519"	7.53179997632682	7.13589573437502	7.16220248196812	7.68259366234996	"Tmem144"
"A_52_P979997"	3.27091337312305	3.14155761527344	3.26088134347942	3.18873426006082	"AK039768"
"A_52_P453864"	3.27262929980156	3.14666124962681	3.26246318840824	3.19785540754248	"Syne1"
"A_52_P655842"	3.2497693421991	5.19784613118349	4.34699889352474	4.54833458432288	"Ank1"
"A_51_P282374"	3.26647559703905	4.48975758349917	3.95891429793941	4.73996202359571	"H2-M10.5"
"A_52_P176013"	4.37771549374376	6.89585576652723	4.41292544900259	6.58856741322041	"Irf9"
"A_51_P121179"	4.55576754302582	4.18527602927308	4.35608586879463	3.91559262739531	"Fam132b"
"A_51_P448416"	9.14592788012278	9.42432902907953	9.51321846766141	9.05510310441315	"Pusl1"
"A_51_P215038"	7.45087121406388	7.99695190678542	7.88034896122711	7.62078084595653	"Tmem59l"
"A_52_P427024"	13.9043598098796	14.2951529747387	14.5865189742584	14.1298114118879	"Ldlr"
"A_52_P669145"	8.00121591607526	8.31066219595837	8.04722208839818	7.91148187258483	"Hps5"
"A_52_P65218"	5.05069138152565	3.19417572027876	4.21593345280821	3.2790601581276	"Thoc1"
"A_51_P318564"	6.30239678657196	5.57046103354079	6.05077506095073	5.68309504230583	"Wnk1"
"A_52_P123716"	3.36691253170401	3.20232156482298	3.32042662245456	3.29678104135314	"Prkar2a"
"A_52_P682382"	7.67521715339878	6.84117118924854	7.04853537170735	7.74431097599378	"Scd1"
"A_52_P571768"	3.39410055628821	3.21100268973958	3.34772322832122	3.32075102490178	"Kif13b"
"A_52_P267543"	8.4196557054761	8.03112014859641	7.38583954161517	8.58964665271402	"Ginm1"
"A_52_P172080"	3.43049280271384	3.22286857380899	4.19648492599554	3.35609971154859	"Asph"
"A_51_P144206"	3.98517901460131	4.03929509419638	5.30604345620044	3.91465031250671	"A_51_P144206"
"A_51_P114722"	3.50520138914861	3.23014851154923	3.44340286303869	3.37985634416464	"Hao2"
"A_52_P368650"	4.84838445355577	5.88191436550462	5.15300626297272	5.65697852309255	"Zswim4"
"A_52_P931594"	3.56731285881357	5.13516873205045	3.49358793557337	4.57152846805646	"AK051556"
"A_51_P414661"	8.01124472982131	5.97508123047901	6.12292793194258	8.45634014211166	"2210010C04Rik"
"A_52_P290374"	3.64276888255562	3.50879660060058	3.54960769163473	3.73497339933276	"Tunar"
"A_52_P103628"	13.6999568243525	13.8729568995846	13.9874869729558	13.432128841099	"Gm12854"
"A_51_P291339"	13.5645999640674	14.188736800899	14.1164075245258	13.4369210091645	"Ssrp1"
"A_51_P496795"	10.4493841734614	10.4238893256866	10.6868053605999	9.9672369240746	"Ncmap"
"A_52_P440044"	8.92624995531987	8.50576243794975	8.47198607152097	8.59898445930874	"Thap2"
"A_52_P373010"	7.24864014265771	3.261150910694	7.36075689920704	3.46504029452611	"2900092D14Rik"
"A_51_P170285"	4.21046075581401	5.57639704551647	3.86019609416339	5.41589055042576	"Apobec3"
"A_52_P656860"	4.63191840680644	4.4571102919433	4.1856471517883	4.564724623774	"Slc25a30"
"A_52_P187023"	3.89465971286471	3.26976575670487	3.79175526842192	3.49038044336837	"Prdx6b"
"A_51_P492963"	8.75457855869026	8.22988961421247	8.15085297342807	8.42798133700025	"Rbm33"
"A_51_P218196"	4.46776571783508	3.22155052032815	4.09079361536261	3.32301647897387	"Msx1"
"A_51_P123134"	6.83913228157067	7.75272969470748	8.02923490243848	6.30534271542135	"Ercc6l"
"A_51_P213898"	10.1528013563626	9.78626309220879	9.79267078313	9.56546080297068	"Usp15"
"A_52_P413257"	6.44497262002977	4.80609768397573	5.44391947221042	4.80372287763741	"Med18"
"A_51_P521171"	8.69372999977768	8.5904061403327	9.07907251682025	8.21944831807113	"Hif1an"
"A_52_P846109"	4.59207530796877	7.55179879966769	3.95140677054779	7.0720704188513	"Map1a"
"A_52_P51896"	4.11202634943116	3.28889987734857	3.96131243938463	3.53178298854746	"AK082682"
"A_51_P140321"	10.2161450142775	10.4937326348482	10.5134024101848	10.1130346423328	"Mocos"
"A_51_P442759"	8.19108747577447	8.47267114291988	8.31121211398252	8.51763671554328	"Arhgef19"
"A_51_P174081"	6.55536301816434	7.24539345435654	6.95110400245235	7.24539345435654	"Zdhhc14"
"A_52_P83688"	4.86809852596218	5.8686902836647	4.58908736483918	5.53157141585464	"Vps29"
"A_51_P455040"	4.19855799698247	3.29410897003528	4.04987043469613	3.54025803611646	"Hoxd3"
"A_51_P432538"	12.4676896029599	12.4832946959701	12.7992366377997	12.755796153489	"H2-T22"
"A_51_P507602"	3.23643617231195	4.14940162379491	3.22451828846765	5.32281652142526	"Clca3b"
"A_52_P303343"	7.31076726671525	7.87797716628318	7.69958980369455	7.67278049118772	"Higd1b"
"A_51_P488211"	8.25975303067961	9.083788310212	9.21404597868755	8.78289487484855	"Atp10d"
"A_51_P425798"	5.6205213850789	6.4135900630709	6.2349077014932	5.45981970058479	"Mtus2"
"A_52_P503809"	11.44179403821	10.9685982203567	10.8043974675153	11.0243648749193	"Tuba1c"
"A_51_P131025"	14.599968179682	14.7752950682798	14.8160408951673	14.472447947788	"Ngdn"
"A_51_P102122"	3.10215938744928	3.04983026140566	3.09250459962415	3.06358324175441	"Myog"
"A_51_P293489"	11.0018762905801	10.5300558630288	9.84624432835361	10.5837816093563	"Rbm47"
"A_52_P76629"	7.52877055079988	7.89104439837452	8.00986359984991	7.67111235187463	"AK148746"
"A_52_P137901"	6.48536358711487	6.37675971864121	6.63555561529519	5.93324314356891	"Zfp516"
"A_52_P247927"	5.61906674865043	5.67035967842536	5.6010249246873	4.95059485439064	"Eldr"
"A_52_P583219"	3.27525755987737	4.53002187934475	3.25332356750357	4.32955364910504	"4933423P22Rik"
"A_51_P349751"	3.27553536761817	5.72081910090975	3.25448818759879	4.9480249159586	"Scel"
"A_51_P514421"	10.1909725144701	10.027907378461	9.45254308326463	9.62695787701086	"Slc35a1"
"A_52_P496870"	9.85877457002712	9.13265658607194	9.20913518216987	9.22540641148509	"2310011J03Rik"
"A_52_P648688"	5.86315254478228	5.84598343100032	6.52254720431591	5.90265512391587	"Zc3h12d"
"A_51_P449777"	8.3192758333797	9.08325452862376	9.05833009385841	8.71416539434166	"Pmepa1"
"A_51_P363960"	3.27498133808747	3.13949327508052	3.25866940488031	3.18469780612922	"Olfr1356"
"A_52_P293556"	9.64488887990121	9.8948735302737	9.612599095364	9.51979196312475	"Wdr41"
"A_51_P240269"	3.27749265975808	3.14952334218158	3.26189730950872	3.20159193223574	"Fam199x"
"(+)E1A_r60_3"	12.5543817836409	12.3697880683768	10.7819564756988	10.5435869564271	NA
"A_51_P224630"	6.8874226091015	7.61631725885492	6.57456442717563	6.73292272176579	"Dtwd2"
"A_51_P256202"	12.6641907011312	12.8806792603621	12.7009819815529	13.3797865043001	"Ctsz"
"A_52_P666646"	10.8171453575774	11.0590378386454	10.5698499134709	11.0195117636612	"Susd6"
"A_52_P247491"	7.09263796833062	7.18289536082368	6.88893376946028	6.73550190279387	"Ddhd1"
"A_51_P177605"	10.2084376993752	10.3924625973971	10.2204003972536	10.2697344938986	"Ccdc174"
"A_51_P327285"	8.99206289696732	9.32512766542443	9.07952391739906	9.50153597843467	"Extl2"
"A_52_P593965"	7.6059918708704	7.18597330673919	8.67533511145795	7.0532604325912	"Fdps"
"A_51_P258721"	6.26922614451641	6.85585425147744	6.80229569506677	5.7489525136733	"Tpsg1"
"A_51_P262432"	12.9109746994955	13.2311586690731	12.8653725519998	12.7178171303734	"Srsf2"
"A_52_P493882"	7.26803243487678	7.21941879181883	7.41771435545611	7.38932394740771	"2810403D21Rik"
"A_51_P235440"	7.33796804038073	7.2226770679004	7.35337181543689	6.78770428944035	"Pelp1"
"A_51_P439711"	8.42989449712221	8.40843610773882	8.54690834672494	7.7302381324886	"Rif1"
"A_52_P1147900"	3.42845417724183	3.21727104906662	3.36962951921887	3.33601396440687	"Zkscan16"
